"anon_filename","species_code","species_common_name","0:00","0:30","1:00","1:30","2:00","2:30","3:00","3:30","4:00","4:30","5:00","5:30","6:00","6:30","7:00","7:30","8:00","8:30","9:00","9:30","comments"
"f71_late_May","passerine sp.","passerine sp.",,,"C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C",
"f71_late_May","WIWR","Winter Wren",,,,,,"S","S","S","S",,,,,,"S","S","S","S","S",,
"f71_late_May","WTSP","White-throated Sparrow","S","C","C",,"C",,,,,,,,,,,,,,,,
"f71_late_May","YRWA","Yellow-rumped Warbler",,,,,,,,,,,,"S",,,"S",,,,,,
"f72_early_May","YRWA","Yellow-rumped Warbler",,,,,,,,,,"S",,"S",,,,,,,,,
"f74_late_Apr","bird sp.","bird sp.",,,,,,,,,,,"S",,,"S","S",,,,,,"maybe WIWR?"
"f74_late_Apr","CANG","Canada Goose",,,,,,,"C","C",,,,,,,,,,,,,
"f74_late_Apr","NOFL","Northern Flicker",,,,,,,,,,,,,"C",,,,,,,,
"f74_late_Apr","passerine sp.","passerine sp.",,,"C","C","C",,,,,,"C",,,,,"C",,,"C","C","GCKI or BRCR?"
"f75_early_May","bird sp.","bird sp.",,,,,,,,,,,,,,"C",,,,,,,"COGR?"
"f75_early_May","passerine sp.","passerine sp.",,,,,,,"C",,,,,,,,,,,,"C",,"chip"
"f75_early_May","WTSP","White-throated Sparrow",,,,,,,,,,,,,,,,,,"S","S","S",
"f76_late_Apr","woodpecker sp.","woodpecker sp.",,,,,,,,,,,,,,,"D",,,,,,
"f77_early_May","passerine sp.","passerine sp.",,,,,,,"S",,,,,,,,,,"C",,,,"1) BHVI? 2) BRCR, probably"
"f78_late_Apr","no birds","NA",,,,,,,,,,,,,,,,,,,,,
"f79_early_May","BCCH","Black-capped Chickadee","S","C","C",,"S","S","S","S",,,,,,,,,"S",,,,
"f79_early_May","bird sp.","bird sp.",,,,,,,,,,,,,"C",,,,,,,,"COGR?"
"f79_early_May","BTNW","Black-throated Green Warbler",,,,,,"S",,,"S","S",,,,,,,,,,,
"f79_early_May","passerine sp.","passerine sp.",,,,,,,,,,,,,,,,"C",,,"C","C","high contact calls"
"f79_early_May","RBNU","Red-breasted Nuthatch",,,,,,,,,,,,,,,,"S","S",,,,
"f79_early_May","WIWR","Winter Wren","S","S",,,"S","S","S",,,,,,,,"S","S","S",,,,
"f79_early_May","YRWA","Yellow-rumped Warbler",,,,,"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S",
"f80_late_Apr","BRCR","Brown Creeper","C","C","C","C",,,,,,,,,,,,,,,,,
"f80_late_Apr","passerine sp.","passerine sp.",,,,,,,,,"C","C",,,,,,"C",,,,,"BCCH OR GCKI"
"f82_early_Apr","passerine sp.","passerine sp.","S",,,,,,,,,,,,,,,,,,,,"too faint to ID"
"f86_early_May","BCCH","Black-capped Chickadee",,,,,,"S","S",,,,,,,,,,,,,,
"f86_early_May","bird sp.","bird sp.",,,,,"C",,,,,,,,,,,,,,,,"chip"
"f86_early_May","BTNW","Black-throated Green Warbler",,,,,,,,"S","S","S","S","S","S",,,,,,,,
"f86_early_May","DOWO","Downy Woodpecker",,,,,,,,,,,,,,,,,,"C","S","S","90% sure of ID"
"f86_early_May","YBSA","Yellow-bellied Sapsucker",,,,,,"D","D",,,"D","D",,,,,"D","D","D","D",,
"f87_early_Apr","bird sp.","bird sp.",,,,,,,,,,,,,,,"C","C","C",,"C",,"maybe AMRO"
"f87_early_Apr","BRCR","Brown Creeper",,"C",,"S","S","S","C","C","S","S","S","S","S",,,,,,,,
